a1_inner_candidate_name,a1_inner_candidate_status,a1_inner_green_identity_status,a1_inner_green_identity_validity_status,a1_inner_changed_eq23_terms,a1_inner_hypothesis,geometry_name,potential_name,panel_count,semiaxis_y_m,semiaxis_z_m,inner_a_scale,inner_b_scale,inner_diagonal_sign,residual_norm,relative_residual,max_abs_residual,phi_norm,phi_n_norm,a_phi_norm,b_phi_n_norm,relative_tolerance,diagnostic_status,gate_role,is_hard_gate
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_z,256,1.0,0.5,1.0,-1.0,-1.0,47.394949540528195,1.9963701811556918,4.191543196467157,11.48891557542048,13.063945294843617,23.74056173945226,23.654584468834965,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,1.0,1.0,-1.0,0.17995676230176663,0.005041443628686217,0.019549186978488287,10.002018052595178,23.474843480560065,35.69548239670841,35.53206040665324,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.02864100826313905,0.002863522952321377,0.0031113497410540925,10.002018052595178,23.474843480560065,5.681112469485878,5.655103051958683,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,0.15915494309189535,1.0,-1.0,29.85096307290302,0.8401134843087665,3.6588733007208107,10.002018052595178,23.474843480560065,5.681112469485878,35.53206040665324,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,1.0,0.15915494309189535,-1.0,30.040394385041104,0.8415741255764966,3.6769057208647933,10.002018052595178,23.474843480560065,35.69548239670841,5.655103051958683,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,1.0,1.0,1.0,62.675155350824724,1.7639043341007337,7.93458940827936,10.002018052595178,23.474843480560065,28.71511594507394,35.53206040665324,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,-1.0,1.0,-1.0,71.22750294735349,1.9954206573188544,8.724293448974066,10.002018052595178,23.474843480560065,35.69548239670841,35.53206040665324,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,quadratic_y2_minus_z2,256,1.0,0.5,1.0,-1.0,-1.0,71.22750294735349,1.9954206573188544,8.724293448974066,10.002018052595178,23.474843480560065,35.69548239670841,35.53206040665324,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,cross_yz,256,1.0,0.5,1.0,1.0,-1.0,0.14505043604186654,0.008098683511701054,0.017552552277201094,7.615120563615201,11.05481055407545,17.910372202135854,17.77370168688822,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,cross_yz,256,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.023085493893697843,0.003031533604864982,0.002793575458795383,7.615120563615201,11.05481055407545,2.850524268585596,2.8287724805090186,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,256,1.0,0.5,0.15915494309189535,1.0,-1.0,14.923190007200498,0.839621946519415,1.588843628838623,7.615120563615201,11.05481055407545,2.850524268585596,17.77370168688822,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,256,1.0,0.5,1.0,0.15915494309189535,-1.0,15.081612178286717,0.8420602323657015,1.603450040319183,7.615120563615201,11.05481055407545,17.910372202135854,2.8287724805090186,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,cross_yz,256,1.0,0.5,1.0,1.0,1.0,47.70856504627878,1.562553442854827,4.755488754267079,7.615120563615201,11.05481055407545,30.532437315624836,17.77370168688822,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,cross_yz,256,1.0,0.5,-1.0,1.0,-1.0,35.68404080983643,1.9923673504440642,3.796530220319401,7.615120563615201,11.05481055407545,17.910372202135854,17.77370168688822,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,cross_yz,256,1.0,0.5,1.0,-1.0,-1.0,35.68404080983643,1.9923673504440642,3.796530220319401,7.615120563615201,11.05481055407545,17.910372202135854,17.77370168688822,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
